Category,Brand,Product Name,Full Title,Shipping,Price
Laptop,Acer,"Aspire 14 14.0"" WUXGA Intel Core 7 150U RTX 2050 Laptop 16GB Memory 1 TB PCIe SSD Windows 11 Home A14-51GM-771W","Acer Aspire 14 14.0"" WUXGA Intel Core 7 150U RTX 2050 Laptop 16GB Memory 1 TB PCIe SSD Windows 11 Home A14-51GM-771W",,699.99
Laptop,REFURBISHED,"Dell Latitude 5300 13.3-in Laptop - Intel Core i7 8665U 8th Gen 1.90 GHz 16GB 256GB SSD Windows 10 Pro 64-Bit - Bluetooth, Webcam","REFURBISHED Dell Latitude 5300 13.3-in Laptop - Intel Core i7 8665U 8th Gen 1.90 GHz 16GB 256GB SSD Windows 10 Pro 64-Bit - Bluetooth, Webcam",,229.09
Laptop,ASUS,"Vivobook Laptop 14"" Full HD Intel core 12th Gen i3-1215U 40GB RAM 2TB SSD Intel Iris Xe Graphics HDMI 1.4 USB-C 3.2 Bluetooth, Wi-Fi 6E Windows 11 Home Blue","ASUS Vivobook Laptop 14"" Full HD Intel core 12th Gen i3-1215U 40GB RAM 2TB SSD Intel Iris Xe Graphics HDMI 1.4 USB-C 3.2 Bluetooth, Wi-Fi 6E Windows 11 Home Blue",,499.0
Laptop,Lenovo,"ThinkPad E16 Business Laptop, 16"" WUXGA Display, AMD Ryzen 5 7530U (Beat i7-1165G7), 24GB RAM, 1TB PCIe SSD, Webcam, HDMI, RJ-45, Fingerprint Reader, Wi-Fi 6, Windows 11 Pro, Black","Lenovo ThinkPad E16 Business Laptop, 16"" WUXGA Display, AMD Ryzen 5 7530U (Beat i7-1165G7), 24GB RAM, 1TB PCIe SSD, Webcam, HDMI, RJ-45, Fingerprint Reader, Wi-Fi 6, Windows 11 Pro, Black",,639.0
Laptop,Dell,"Inspiron 3530 15.6"" FHD Touch Laptop,Intel Core i7-1355U,Intel Iris Xe Graphics,Wi-Fi6 and Bluetooth 5.3,64 GB RAM|2 TB SSD,Windows11 Pro,Carbon Black","Dell Inspiron 3530 15.6"" FHD Touch Laptop,Intel Core i7-1355U,Intel Iris Xe Graphics,Wi-Fi6 and Bluetooth 5.3,64 GB RAM|2 TB SSD,Windows11 Pro,Carbon Black",,843.0
Laptop,ACEMAGIC,"Laptop Computer, 16GB DDR4 512GB SSD, 17.3 Inch Laptop with Intel Quad-Core N97(Up to 3.6GHz), Metal Shell, BT5.0, 5G WiFi, USB3.2, Type_C, Webcam, Long Battery Life, 180° Open Angle","ACEMAGIC Laptop Computer, 16GB DDR4 512GB SSD, 17.3 Inch Laptop with Intel Quad-Core N97(Up to 3.6GHz), Metal Shell, BT5.0, 5G WiFi, USB3.2, Type_C, Webcam, Long Battery Life, 180° Open Angle",,319.0
Laptop,TPV,"Laptop Computer 16GB (8+8) RAM 512GB SSD, 14"" 2K Resolution 3:2 Notebook Display, Intel M3-8100Y Processor(up to 3.40 GHz), MS Office, Windows 11 Laptop with Keyboard, WiFi 5, BT 5, HDMI, Gray","TPV Laptop Computer 16GB (8+8) RAM 512GB SSD, 14"" 2K Resolution 3:2 Notebook Display, Intel M3-8100Y Processor(up to 3.40 GHz), MS Office, Windows 11 Laptop with Keyboard, WiFi 5, BT 5, HDMI, Gray",,289.0
Laptop,IPASON,"14.1"" Laptop Intel N5100 (4 Core up to 2.8GHz) 12GB RAM 256GB SSD Windows 10 home Ultra Thin and Light IPS Notebook (Maxbook - P2X )","IPASON 14.1"" Laptop Intel N5100 (4 Core up to 2.8GHz) 12GB RAM 256GB SSD Windows 10 home Ultra Thin and Light IPS Notebook (Maxbook - P2X )",,128.0
Laptop,Auusda,"14.1"" Laptop Computer, 8GB DDR4 512GB SSD, Intel Celeron J4125 (2.0-2.7GHz), Windows 11 Pro, Intel UHD Graphics 600 Home Notebook, Wifi+Bluetooth, Silver","Auusda 14.1"" Laptop Computer, 8GB DDR4 512GB SSD, Intel Celeron J4125 (2.0-2.7GHz), Windows 11 Pro, Intel UHD Graphics 600 Home Notebook, Wifi+Bluetooth, Silver",,204.99
Laptop,Lenovo,"IdeaPad Slim 5i 16.0"" Laptop i7-1355U 16GB RAM 1 TB PCIe SSD Windows 11 Home 82XF002SUS","Lenovo IdeaPad Slim 5i 16.0"" Laptop i7-1355U 16GB RAM 1 TB PCIe SSD Windows 11 Home 82XF002SUS",,699.99
Laptop,HP,"ProBook 440 G11 Laptop, 14"" FHD+ Display, Intel Core Ultra 7 155U Upto 4.8GHz, 32GB RAM, 1TB SSD, Backlit keys, Fingerprint Reader, Windows 11 Pro","HP ProBook 440 G11 Laptop, 14"" FHD+ Display, Intel Core Ultra 7 155U Upto 4.8GHz, 32GB RAM, 1TB SSD, Backlit keys, Fingerprint Reader, Windows 11 Pro",,1049.99
Laptop,MSI,"Commercial 14"" Intel i9-13900H Laptop - 32 GB - 1 TB SSD -Solid Gray Windows 11 Pro COM14V13228","MSI Commercial 14"" Intel i9-13900H Laptop - 32 GB - 1 TB SSD -Solid Gray Windows 11 Pro COM14V13228",,799.99
Laptop,HP,"EliteBook 845 G11 Laptop, 14"" FHD+ Touch Display, AMD Ryzen 5 PRO 8640HS Upto 4.9GHz, 32GB RAM, 1TB SSD, Backlit keys, Fingerprint Reader, Windows 11 Pro","HP EliteBook 845 G11 Laptop, 14"" FHD+ Touch Display, AMD Ryzen 5 PRO 8640HS Upto 4.9GHz, 32GB RAM, 1TB SSD, Backlit keys, Fingerprint Reader, Windows 11 Pro",,899.99
Laptop,Auusda,"Business Laptop, 32GB RAM 1TB SSD, Windows 11 Pro Computers, 15.6"" 1920 x 1080 Screen, Intel N95 CPU, Backlight Keyboard, Fingerprint Reader, Mini HDMI, USB-A, Silver","Auusda Business Laptop, 32GB RAM 1TB SSD, Windows 11 Pro Computers, 15.6"" 1920 x 1080 Screen, Intel N95 CPU, Backlight Keyboard, Fingerprint Reader, Mini HDMI, USB-A, Silver",,349.99
Laptop,HP,"15.6"" Touchscreen Laptop, Intel Core i5-1235U, 16GB RAM 512GB SSD, Intel Iris Xe Graphics, Wi-Fi 6E, Bluetooth 5.3, Windows 11 Pro","HP 15.6"" Touchscreen Laptop, Intel Core i5-1235U, 16GB RAM 512GB SSD, Intel Iris Xe Graphics, Wi-Fi 6E, Bluetooth 5.3, Windows 11 Pro",,549.99
Laptop,Dell,"Inspiron 15 3000 Series 3520 Laptop, 15.6"" FHD Touchscreen, 12th Gen Intel Core i7-1255U, 32GB RAM, 1TB PCIe SSD, Webcam, HDMI, Wi-Fi 6, Windows 11 Home, Black","Dell Inspiron 15 3000 Series 3520 Laptop, 15.6"" FHD Touchscreen, 12th Gen Intel Core i7-1255U, 32GB RAM, 1TB PCIe SSD, Webcam, HDMI, Wi-Fi 6, Windows 11 Home, Black",,678.79
